"season","posteam","full_name","offense_players","years_exp","pass_snaps","rec_yards_total","targets_total","receiving_epa_total","yards_per_pass_snap","targets_per_pass_snap","rec_epa_per_pass_snap","name_season","position","team"
2022,"ARI","A.J. Green","00-0027942",12,323,236,47,-18.07,0.73,0.15,-0.06,"A.J. Green 2022","WR","ARI"
2022,"ARI","Andre Baccellia","00-0035876",3,67,45,10,1.43,0.67,0.15,0.02,"Andre Baccellia 2022","WR","ARI"
2022,"ARI","Andy Isabella","00-0035527",4,41,21,5,0.35,0.51,0.12,0.01,"Andy Isabella 2022","WR","BAL"
2022,"ARI","Corey Clement","00-0033725",6,41,54,7,2.6,1.32,0.17,0.06,"Corey Clement 2022","RB","ARI"
2022,"ARI","Darrel Williams","00-0034301",5,61,9,8,-5.26,0.15,0.13,-0.09,"Darrel Williams 2022","RB","ARI"
2022,"ARI","DeAndre Hopkins","00-0030564",10,313,717,96,8.67,2.29,0.31,0.03,"DeAndre Hopkins 2022","WR","ARI"
2022,"ARI","Eno Benjamin","00-0036383",3,172,184,33,4.19,1.07,0.19,0.02,"Eno Benjamin 2022","RB","NO"
2022,"ARI","Greg Dortch","00-0035500",4,315,467,64,12.06,1.48,0.2,0.04,"Greg Dortch 2022","WR","ARI"
2022,"ARI","James Conner","00-0033553",6,365,300,58,-6.05,0.82,0.16,-0.02,"James Conner 2022","RB","ARI"
2022,"ARI","Keaontay Ingram","00-0037299",1,54,21,5,-3.22,0.39,0.09,-0.06,"Keaontay Ingram 2022","RB","ARI"
2022,"ARI","Marquise Brown","00-0035662",4,439,709,107,-3.33,1.62,0.24,-0.01,"Marquise Brown 2022","WR","ARI"
2022,"ARI","Maxx Williams","00-0031558",8,59,18,3,0.73,0.31,0.05,0.01,"Maxx Williams 2022","TE","ARI"
2022,"ARI","Pharoh Cooper","00-0033111",7,11,6,2,-0.78,0.55,0.18,-0.07,"Pharoh Cooper 2022","WR","ARI"
2022,"ARI","Robby Anderson","00-0032688",7,121,76,17,-6.34,0.63,0.14,-0.05,"Robby Anderson 2022","WR","ARI"
2022,"ARI","Rondale Moore","00-0036936",2,243,414,56,11.38,1.7,0.23,0.05,"Rondale Moore 2022","WR","ARI"
2022,"ARI","Stephen Anderson","00-0032725",7,50,9,7,-3.3,0.18,0.14,-0.07,"Stephen Anderson 2022","TE","ARI"
2022,"ARI","Trey McBride","00-0037744",1,304,265,39,7.7,0.87,0.13,0.03,"Trey McBride 2022","TE","ARI"
2022,"ARI","Zach Ertz","00-0030061",10,345,406,69,6.27,1.18,0.2,0.02,"Zach Ertz 2022","TE","ARI"
2022,"ATL","Anthony Firkser","00-0033455",6,84,100,13,2.51,1.19,0.15,0.03,"Anthony Firkser 2022","TE","ATL"
2022,"ATL","Avery Williams","00-0036950",2,70,61,14,-1.09,0.87,0.2,-0.02,"Avery Williams 2022","RB","ATL"
2022,"ATL","Caleb Huntley","00-0036829",2,30,3,2,-0.76,0.1,0.07,-0.03,"Caleb Huntley 2022","RB","ATL"
2022,"ATL","Cordarrelle Patterson","00-0030578",10,163,122,31,-18.14,0.75,0.19,-0.11,"Cordarrelle Patterson 2022","RB","ATL"
2022,"ATL","Damiere Byrd","00-0031868",8,140,268,23,7.56,1.91,0.16,0.05,"Damiere Byrd 2022","WR","ATL"
2022,"ATL","Drake London","00-0037238",1,352,866,117,11.74,2.46,0.33,0.03,"Drake London 2022","WR","ATL"
2022,"ATL","Feleipe Franks","00-0036825",2,17,0,2,-1.09,0,0.12,-0.06,"Feleipe Franks 2022","TE","ATL"
2022,"ATL","Frank Darby","00-0036951",2,17,15,1,1.27,0.88,0.06,0.07,"Frank Darby 2022","WR","ATL"
2022,"ATL","Keith Smith","00-0030968",9,61,8,2,-1.61,0.13,0.03,-0.03,"Keith Smith 2022","RB","ATL"
2022,"ATL","KhaDarel Hodge","00-0034854",5,72,202,20,12.51,2.81,0.28,0.17,"KhaDarel Hodge 2022","WR","ATL"
2022,"ATL","Kyle Pitts","00-0036970",2,188,356,59,3.38,1.89,0.31,0.02,"Kyle Pitts 2022","TE","ATL"
2022,"ATL","MyCole Pruitt","00-0031585",8,108,150,21,8.15,1.39,0.19,0.08,"MyCole Pruitt 2022","TE","ATL"
2022,"ATL","Olamide Zaccheaus","00-0035208",4,304,533,61,23.68,1.75,0.2,0.08,"Olamide Zaccheaus 2022","WR","ATL"
2022,"ATL","Parker Hesse","00-0035572",4,205,89,11,8.57,0.43,0.05,0.04,"Parker Hesse 2022","TE","ATL"
2022,"ATL","Tyler Allgeier","00-0037263",1,197,139,17,7.13,0.71,0.09,0.04,"Tyler Allgeier 2022","RB","ATL"
2022,"BAL","Charlie Kolar","00-0038046",1,22,49,6,2.57,2.23,0.27,0.12,"Charlie Kolar 2022","TE","BAL"
2022,"BAL","DeSean Jackson","00-0026189",15,60,153,17,1.63,2.55,0.28,0.03,"DeSean Jackson 2022","WR","BAL"
2022,"BAL","Demarcus Robinson","00-0032775",7,311,458,75,3.6,1.47,0.24,0.01,"Demarcus Robinson 2022","WR","BAL"
2022,"BAL","Devin Duvernay","00-0036331",3,298,407,49,19.67,1.37,0.16,0.07,"Devin Duvernay 2022","WR","BAL"
2022,"BAL","Gus Edwards","00-0034184",5,33,0,2,-1.01,0,0.06,-0.03,"Gus Edwards 2022","RB","BAL"
2022,"BAL","Isaiah Likely","00-0037838",1,237,373,60,-5.35,1.57,0.25,-0.02,"Isaiah Likely 2022","TE","BAL"
2022,"BAL","J.K. Dobbins","00-0036158",3,80,42,8,0.12,0.52,0.1,0,"J.K. Dobbins 2022","RB","BAL"
2022,"BAL","James Proche","00-0036133",3,113,62,17,-9.63,0.55,0.15,-0.09,"James Proche 2022","WR","BAL"
2022,"BAL","Josh Oliver","00-0035249",4,155,149,25,4.89,0.96,0.16,0.03,"Josh Oliver 2022","TE","BAL"
2022,"BAL","Justice Hill","00-0034975",4,139,58,12,2.08,0.42,0.09,0.01,"Justice Hill 2022","RB","BAL"
2022,"BAL","Kenyan Drake","00-0033118",7,170,89,26,-5.92,0.52,0.15,-0.03,"Kenyan Drake 2022","RB","BAL"
2022,"BAL","Mark Andrews","00-0034753",5,367,847,113,24.14,2.31,0.31,0.07,"Mark Andrews 2022","TE","BAL"
2022,"BAL","Nick Boyle","00-0031598",8,7,NA,NA,NA,NA,NA,NA,"Nick Boyle 2022","TE","BAL"
2022,"BAL","Patrick Ricard","00-0033376",6,225,74,13,-4.76,0.33,0.06,-0.02,"Patrick Ricard 2022","RB","BAL"
2022,"BAL","Rashod Bateman","00-0036550",2,102,285,28,2.65,2.79,0.27,0.03,"Rashod Bateman 2022","WR","BAL"
2022,"BAL","Sammy Watkins","00-0031325",9,40,119,5,3.7,2.98,0.12,0.09,"Sammy Watkins 2022","WR","BAL"
2022,"BAL","Tylan Wallace","00-0036630",2,40,33,7,-2.95,0.82,0.17,-0.07,"Tylan Wallace 2022","WR","BAL"
2022,"BUF","Cole Beasley","00-0029000",11,8,18,2,0.88,2.25,0.25,0.11,"Cole Beasley 2022","WR","BUF"
2022,"BUF","Dawson Knox","00-0035689",4,436,517,65,20.46,1.19,0.15,0.05,"Dawson Knox 2022","TE","BUF"
2022,"BUF","Devin Singletary","00-0035250",4,376,280,52,6.94,0.74,0.14,0.02,"Devin Singletary 2022","RB","BUF"
2022,"BUF","Gabriel Davis","00-0036196",3,497,836,93,14.69,1.68,0.19,0.03,"Gabriel Davis 2022","WR","BUF"
